273	47
325	44
271	50
495	338
314	25
583	491
38	454
530	398
29	470
30	468
435	234
12	499
136	285
513	369
207	161
283	30
360	105
147	266
412	195
146	267
224	132
211	155
113	325
259	71
272	49
380	139
152	256
534	406
304	8
126	301
261	68
304	8
510	364
419	207
279	36
151	259
480	312
586	496
420	208
239	106
573	473
363	109
325	44
100	347
453	266
112	326
343	75
444	249
61	414
104	340
309	15
363	109
307	13
144	271
305	9
581	487
9	504
404	181
283	30
315	26
78	384
455	268
583	491
298	3
240	104
591	504
210	157
103	341
107	335
147	266
485	320
522	385
377	133
174	218
402	177
67	403
430	226
567	463
179	209
336	63
264	62
421	209
435	234
144	271
403	178
591	504
74	391
544	423
0	519
94	357
576	478
324	42
598	517
124	305
314	25
102	343
348	83
528	396
284	28
48	437
