103	492
306	35
77	445
285	91
353	210
473	308
231	348
283	403
255	168
156	262
297	15
300	1
408	407
332	126
313	53
89	439
268	98
317	152
262	338
472	483
347	183
160	429
331	316
373	266
214	209
210	270
337	91
366	145
316	116
221	224
234	190
323	474
549	477
218	188
205	508
162	413
233	484
258	135
376	389
427	305
349	292
197	322
430	257
324	119
239	123
267	302
247	145
440	282
383	226
214	172
340	422
197	188
273	69
332	111
335	101
239	438
285	28
213	352
300	54
325	62
278	313
278	164
303	408
371	201
228	178
285	200
240	195
250	201
305	99
285	423
291	110
278	77
265	87
516	504
453	500
245	224
240	223
420	311
225	249
340	321
191	419
76	447
120	505
227	322
333	386
495	507
157	475
362	233
342	291
512	442
290	22
478	320
296	182
285	381
320	263
278	49
256	424
171	302
196	346
364	163
287	131
238	519
246	298
220	395
319	106
288	30
306	63
564	484
209	517
205	224
298	104
348	361
368	389
387	247
281	403
333	65
257	84
314	206
303	80
161	292
231	216
263	132
351	92
229	146
289	101
523	504
340	447
156	253
191	248
277	152
385	467
391	297
277	357
406	287
277	83
341	216
301	33
120	364
497	494
212	230
423	344
178	379
283	149
176	244
224	222
292	218
318	231
224	161
186	357
298	9
357	425
129	348
257	86
496	342
507	463
300	56
255	199
283	61
342	372
277	121
233	386
299	25
295	20
498	433
356	253
393	408
302	65
290	126
16	515
400	271
325	48
161	415
291	114
205	439
262	326
535	500
233	159
350	95
234	422
296	448
284	80
340	278
230	242
430	259
306	83
104	500
315	107
432	511
99	410
373	479
323	286
273	372
350	215
453	393
340	125
398	214
231	216
158	403
298	123
381	330
293	220
364	245
332	132
238	226
245	131
425	324
408	375
533	435
386	423
272	311
324	84
68	486
260	158
336	255
238	302
300	14
312	233
168	256
252	267
453	398
311	36
194	399
341	107
294	32
376	191
225	353
305	348
500	454
407	287
72	475
304	59
281	351
330	209
325	75
147	296
219	309
289	446
180	377
507	361
133	369
274	450
306	58
342	75
203	374
240	136
425	271
247	111
276	54
319	80
328	459
167	517
335	158
300	60
132	434
321	208
438	518
300	23
259	185
163	270
300	20
209	329
353	442
392	250
297	85
291	196
312	215
435	282
360	246
347	182
333	131
210	227
435	473
405	494
298	47
299	30
348	180
175	509
280	126
266	225
558	452
249	115
463	343
300	1
300	23
300	5
243	317
412	196
469	295
367	296
323	102
488	519
303	24
445	263
514	409
483	458
286	219
272	94
248	114
303	9
228	345
285	209
66	503
317	231
296	396
179	487
307	58
275	417
313	495
295	15
318	74
270	164
310	337
266	151
57	431
433	495
426	247
423	492
425	280
331	207
537	496
368	410
79	467
206	224
437	318
294	78
410	249
288	76
137	286
300	74
409	288
44	494
296	492
296	11
365	459
375	184
250	273
258	184
413	374
343	381
132	388
480	365
340	459
356	208
437	378
126	376
207	485
272	107
477	498
259	153
315	41
181	459
441	259
49	436
360	312
72	429
303	11
303	158
401	202
371	210
279	67
281	54
361	346
159	352
260	204
252	381
329	125
428	324
301	5
371	407
167	415
314	62
318	270
150	430
194	257
302	7
301	5
383	291
98	390
305	37
137	318
327	73
105	437
383	263
551	460
161	464
323	507
283	35
426	312
267	86
281	68
303	11
390	198
313	54
405	202
344	490
332	118
36	470
299	5
320	107
296	210
251	98
204	399
220	242
302	21
284	66
267	201
288	42
377	335
209	510
483	335
134	358
309	75
194	212
299	93
312	349
286	48
343	93
213	219
534	459
412	414
323	224
424	387
283	36
276	119
244	151
559	516
426	397
214	206
314	110
259	248
342	507
225	174
241	508
324	178
277	56
320	218
332	474
557	458
332	110
353	451
326	504
284	48
354	312
235	288
545	477
199	237
334	444
533	429
213	479
410	240
353	160
335	209
290	77
279	59
319	47
311	327
274	247
274	60
287	388
282	107
191	459
233	260
291	32
379	216
411	263
237	421
269	513
176	256
472	316
247	446
371	137
210	384
407	220
296	18
164	387
427	329
256	201
483	374
235	212
296	30
257	251
184	442
282	111
335	68
280	155
291	237
454	442
